age,gender,height,weight,activity_level,goal,protein,carbs,fats,water
29,female,165,77,moderate,bulking,154.0,423.5,101.6,3.0
58,female,178,61,sedentary,maintenance,122.0,213.5,61.0,2.14
37,female,171,85,sedentary,cutting,187.0,212.5,68.0,2.98
38,female,181,94,moderate,cutting,206.8,258.5,82.7,3.59
40,male,174,88,active,bulking,176.0,550.0,132.0,3.68
29,male,169,93,sedentary,cutting,204.6,232.5,74.4,3.26
54,female,154,97,active,bulking,194.0,606.2,145.5,4.0
36,female,168,96,moderate,cutting,211.2,264.0,84.5,3.66
48,male,198,56,active,bulking,112.0,350.0,84.0,2.56
27,male,194,74,active,cutting,162.8,231.2,74.0,3.19
55,male,159,92,active,cutting,202.4,287.5,92.0,3.82
18,female,177,48,moderate,bulking,96.0,264.0,63.4,1.98
46,female,150,72,moderate,maintenance,144.0,277.2,79.2,2.82
44,female,191,52,moderate,cutting,114.4,143.0,45.8,2.12
49,female,153,52,sedentary,maintenance,104.0,182.0,52.0,1.82
44,male,179,67,moderate,bulking,134.0,368.5,88.4,2.65
35,female,194,70,active,cutting,154.0,218.8,70.0,3.05
21,female,180,87,active,cutting,191.4,271.9,87.0,3.65
49,female,195,77,moderate,bulking,154.0,423.5,101.6,3.0
40,female,173,98,moderate,cutting,215.6,269.5,86.2,3.73
26,male,150,77,moderate,maintenance,154.0,296.5,84.7,3.0
53,female,187,61,moderate,bulking,122.0,335.5,80.5,2.44
23,female,157,66,moderate,bulking,132.0,363.0,87.1,2.61
35,male,193,78,sedentary,bulking,156.0,390.0,93.6,2.73
26,female,157,88,active,cutting,193.6,275.0,88.0,3.68
28,female,154,69,moderate,cutting,151.8,189.8,60.7,2.71
59,male,152,68,moderate,maintenance,136.0,261.8,74.8,2.68
35,male,152,95,active,bulking,190.0,593.8,142.5,3.93
56,female,181,54,moderate,cutting,118.8,148.5,47.5,2.19
39,male,155,50,active,maintenance,100.0,218.8,62.5,2.35
47,female,180,48,sedentary,bulking,96.0,240.0,57.6,1.68
24,female,174,88,active,bulking,176.0,550.0,132.0,3.68
49,male,183,82,active,maintenance,164.0,358.8,102.5,3.47
19,male,193,46,moderate,maintenance,92.0,177.1,50.6,1.91
28,male,179,94,moderate,cutting,206.8,258.5,82.7,3.59
50,female,194,54,moderate,bulking,108.0,297.0,71.3,2.19
46,male,162,71,active,cutting,156.2,221.9,71.0,3.09
47,female,167,65,sedentary,maintenance,130.0,227.5,65.0,2.28
37,female,174,65,sedentary,cutting,143.0,162.5,52.0,2.28
47,female,156,85,moderate,maintenance,170.0,327.2,93.5,3.27
49,male,165,60,active,cutting,132.0,187.5,60.0,2.7
33,female,157,47,moderate,cutting,103.4,129.2,41.4,1.95
26,female,198,53,sedentary,maintenance,106.0,185.5,53.0,1.86
54,male,194,59,moderate,bulking,118.0,324.5,77.9,2.37
46,female,154,47,moderate,cutting,103.4,129.2,41.4,1.95
48,male,185,51,active,cutting,112.2,159.4,51.0,2.39
42,male,198,86,moderate,cutting,189.2,236.5,75.7,3.31
49,female,184,46,moderate,cutting,101.2,126.5,40.5,1.91
27,female,155,50,active,bulking,100.0,312.5,75.0,2.35
37,male,196,54,moderate,maintenance,108.0,207.9,59.4,2.19
40,male,174,88,active,cutting,193.6,275.0,88.0,3.68
53,female,179,97,sedentary,cutting,213.4,242.5,77.6,3.4
58,female,193,90,sedentary,maintenance,180.0,315.0,90.0,3.15
45,female,160,90,moderate,bulking,180.0,495.0,118.8,3.45
54,female,180,58,sedentary,cutting,127.6,145.0,46.4,2.03
42,female,178,66,sedentary,bulking,132.0,330.0,79.2,2.31
42,male,184,67,active,maintenance,134.0,293.1,83.8,2.95
59,female,160,53,sedentary,bulking,106.0,265.0,63.6,1.86
27,female,191,49,moderate,maintenance,98.0,188.7,53.9,2.02
34,male,183,60,moderate,maintenance,120.0,231.0,66.0,2.4
38,female,184,45,active,cutting,99.0,140.6,45.0,2.18
36,male,193,87,moderate,cutting,191.4,239.3,76.6,3.35
38,female,180,50,sedentary,bulking,100.0,250.0,60.0,1.75
46,female,154,60,sedentary,maintenance,120.0,210.0,60.0,2.1
45,male,186,92,active,cutting,202.4,287.5,92.0,3.82
24,male,163,84,sedentary,cutting,184.8,210.0,67.2,2.94
50,female,169,89,moderate,cutting,195.8,244.8,78.3,3.42
57,female,183,73,sedentary,bulking,146.0,365.0,87.6,2.56
48,male,162,59,active,maintenance,118.0,258.1,73.8,2.67
31,male,176,82,sedentary,bulking,164.0,410.0,98.4,2.87
38,female,170,87,sedentary,bulking,174.0,435.0,104.4,3.05
52,male,198,61,sedentary,maintenance,122.0,213.5,61.0,2.14
34,female,153,94,sedentary,bulking,188.0,470.0,112.8,3.29
22,male,170,64,sedentary,maintenance,128.0,224.0,64.0,2.24
23,female,153,69,sedentary,cutting,151.8,172.5,55.2,2.42
29,male,184,97,active,maintenance,194.0,424.4,121.2,4.0
31,female,173,57,active,bulking,114.0,356.2,85.5,2.6
47,male,195,93,moderate,bulking,186.0,511.5,122.8,3.56
51,female,177,75,sedentary,maintenance,150.0,262.5,75.0,2.63
23,female,187,92,moderate,bulking,184.0,506.0,121.4,3.52
19,female,166,55,active,maintenance,110.0,240.6,68.8,2.53
59,male,162,72,sedentary,maintenance,144.0,252.0,72.0,2.52
20,female,182,69,sedentary,maintenance,138.0,241.5,69.0,2.42
54,male,177,99,active,cutting,217.8,309.4,99.0,4.07
56,male,199,67,active,cutting,147.4,209.4,67.0,2.95
52,male,157,90,active,bulking,180.0,562.5,135.0,3.75
20,female,165,88,moderate,bulking,176.0,484.0,116.2,3.38
51,female,169,81,moderate,maintenance,162.0,311.9,89.1,3.14
47,female,184,53,moderate,bulking,106.0,291.5,70.0,2.16
22,female,153,50,active,maintenance,100.0,218.8,62.5,2.35
25,male,165,70,active,maintenance,140.0,306.2,87.5,3.05
36,male,156,93,sedentary,bulking,186.0,465.0,111.6,3.26
42,female,190,57,active,cutting,125.4,178.1,57.0,2.6
51,female,155,97,moderate,cutting,213.4,266.8,85.4,3.7
28,male,186,52,active,cutting,114.4,162.5,52.0,2.42
58,female,187,97,sedentary,bulking,194.0,485.0,116.4,3.4
23,female,187,74,moderate,cutting,162.8,203.5,65.1,2.89
21,male,169,73,active,bulking,146.0,456.2,109.5,3.16
43,male,175,58,moderate,bulking,116.0,319.0,76.6,2.33
58,male,176,67,sedentary,bulking,134.0,335.0,80.4,2.35
43,female,179,52,sedentary,maintenance,104.0,182.0,52.0,1.82
37,female,160,55,active,maintenance,110.0,240.6,68.8,2.53
39,female,157,59,moderate,maintenance,118.0,227.2,64.9,2.37
29,female,170,70,moderate,cutting,154.0,192.5,61.6,2.75
49,male,196,65,moderate,bulking,130.0,357.5,85.8,2.58
37,male,189,98,sedentary,cutting,215.6,245.0,78.4,3.43
29,female,182,90,moderate,maintenance,180.0,346.5,99.0,3.45
32,male,157,45,moderate,bulking,90.0,247.5,59.4,1.88
52,male,180,98,moderate,cutting,215.6,269.5,86.2,3.73
48,female,151,88,sedentary,cutting,193.6,220.0,70.4,3.08
28,male,170,78,moderate,cutting,171.6,214.5,68.6,3.03
29,male,154,84,active,bulking,168.0,525.0,126.0,3.54
30,female,184,66,active,maintenance,132.0,288.8,82.5,2.91
44,female,154,84,active,maintenance,168.0,367.5,105.0,3.54
32,male,197,64,moderate,cutting,140.8,176.0,56.3,2.54
58,female,181,99,active,bulking,198.0,618.8,148.5,4.07
43,male,151,68,sedentary,maintenance,136.0,238.0,68.0,2.38
28,female,193,60,active,maintenance,120.0,262.5,75.0,2.7
46,male,176,56,moderate,cutting,123.2,154.0,49.3,2.26
34,female,154,75,active,cutting,165.0,234.4,75.0,3.23
35,female,167,56,active,bulking,112.0,350.0,84.0,2.56
53,female,191,46,sedentary,maintenance,92.0,161.0,46.0,1.61
27,female,198,97,sedentary,maintenance,194.0,339.5,97.0,3.4
46,female,199,78,active,cutting,171.6,243.8,78.0,3.33
45,female,189,51,sedentary,bulking,102.0,255.0,61.2,1.79
42,female,155,88,moderate,maintenance,176.0,338.8,96.8,3.38
29,male,152,79,sedentary,maintenance,158.0,276.5,79.0,2.77
59,male,199,91,sedentary,bulking,182.0,455.0,109.2,3.19
33,male,197,87,moderate,cutting,191.4,239.3,76.6,3.35
30,male,184,96,sedentary,maintenance,192.0,336.0,96.0,3.36
49,female,154,67,moderate,cutting,147.4,184.3,59.0,2.65
33,male,199,94,active,cutting,206.8,293.8,94.0,3.89
51,female,162,65,sedentary,cutting,143.0,162.5,52.0,2.28
53,male,150,94,sedentary,maintenance,188.0,329.0,94.0,3.29
22,female,156,77,active,cutting,169.4,240.6,77.0,3.3
46,female,199,99,active,bulking,198.0,618.8,148.5,4.07
24,male,171,66,active,bulking,132.0,412.5,99.0,2.91
18,male,162,94,active,maintenance,188.0,411.2,117.5,3.89
29,female,168,57,active,maintenance,114.0,249.4,71.2,2.6
34,female,164,85,active,cutting,187.0,265.6,85.0,3.58
43,male,175,95,moderate,maintenance,190.0,365.8,104.5,3.62
40,male,174,57,sedentary,cutting,125.4,142.5,45.6,2.0
35,male,152,95,sedentary,maintenance,190.0,332.5,95.0,3.33
48,female,160,70,sedentary,cutting,154.0,175.0,56.0,2.45
57,male,187,93,sedentary,bulking,186.0,465.0,111.6,3.26
39,male,186,78,moderate,bulking,156.0,429.0,103.0,3.03
26,male,156,57,sedentary,maintenance,114.0,199.5,57.0,2.0
29,male,192,45,active,cutting,99.0,140.6,45.0,2.18
37,male,154,81,sedentary,cutting,178.2,202.5,64.8,2.84
21,female,163,90,sedentary,maintenance,180.0,315.0,90.0,3.15
23,male,177,61,active,cutting,134.2,190.6,61.0,2.74
56,female,152,65,moderate,bulking,130.0,357.5,85.8,2.58
27,female,151,75,moderate,maintenance,150.0,288.8,82.5,2.93
19,female,185,98,moderate,cutting,215.6,269.5,86.2,3.73
32,female,167,47,moderate,bulking,94.0,258.5,62.0,1.95
27,female,164,52,moderate,cutting,114.4,143.0,45.8,2.12
31,female,170,80,active,maintenance,160.0,350.0,100.0,3.4
45,female,188,77,active,bulking,154.0,481.2,115.5,3.3
41,female,168,98,active,maintenance,196.0,428.8,122.5,4.03
41,male,156,65,moderate,maintenance,130.0,250.3,71.5,2.58
59,male,187,73,moderate,maintenance,146.0,281.1,80.3,2.85
41,male,183,76,moderate,maintenance,152.0,292.6,83.6,2.96
22,female,182,88,moderate,maintenance,176.0,338.8,96.8,3.38
39,male,169,58,sedentary,maintenance,116.0,203.0,58.0,2.03
55,male,153,87,sedentary,cutting,191.4,217.5,69.6,3.05
26,female,180,68,moderate,maintenance,136.0,261.8,74.8,2.68
40,male,189,89,sedentary,cutting,195.8,222.5,71.2,3.12
41,female,171,52,moderate,maintenance,104.0,200.2,57.2,2.12
21,female,180,48,sedentary,bulking,96.0,240.0,57.6,1.68
47,female,173,85,active,cutting,187.0,265.6,85.0,3.58
58,male,156,64,active,maintenance,128.0,280.0,80.0,2.84
18,male,177,90,sedentary,maintenance,180.0,315.0,90.0,3.15
26,female,176,83,active,cutting,182.6,259.4,83.0,3.51
25,female,154,96,moderate,maintenance,192.0,369.6,105.6,3.66
52,female,189,76,active,cutting,167.2,237.5,76.0,3.26
39,female,191,88,sedentary,bulking,176.0,440.0,105.6,3.08
24,male,157,89,sedentary,cutting,195.8,222.5,71.2,3.12
25,female,161,60,moderate,bulking,120.0,330.0,79.2,2.4
27,male,170,76,sedentary,bulking,152.0,380.0,91.2,2.66
26,male,174,54,active,cutting,118.8,168.8,54.0,2.49
19,male,160,74,sedentary,maintenance,148.0,259.0,74.0,2.59
23,female,160,83,sedentary,maintenance,166.0,290.5,83.0,2.91
42,male,196,74,sedentary,maintenance,148.0,259.0,74.0,2.59
32,male,192,59,moderate,cutting,129.8,162.2,51.9,2.37
48,female,157,46,active,maintenance,92.0,201.2,57.5,2.21
36,male,179,49,active,bulking,98.0,306.2,73.5,2.31
28,female,182,49,sedentary,bulking,98.0,245.0,58.8,1.72
19,male,157,52,sedentary,bulking,104.0,260.0,62.4,1.82
37,male,193,51,moderate,cutting,112.2,140.2,44.9,2.08
24,female,192,82,active,bulking,164.0,512.5,123.0,3.47
50,female,150,67,moderate,bulking,134.0,368.5,88.4,2.65
58,female,166,54,moderate,bulking,108.0,297.0,71.3,2.19
28,female,182,93,moderate,bulking,186.0,511.5,122.8,3.56
35,male,152,49,active,cutting,107.8,153.1,49.0,2.31
48,female,188,51,moderate,bulking,102.0,280.5,67.3,2.08
44,female,198,88,sedentary,maintenance,176.0,308.0,88.0,3.08
33,female,196,96,moderate,cutting,211.2,264.0,84.5,3.66
31,female,198,49,moderate,bulking,98.0,269.5,64.7,2.02
42,female,168,55,active,cutting,121.0,171.9,55.0,2.53
57,male,168,56,moderate,bulking,112.0,308.0,73.9,2.26
59,female,179,50,sedentary,bulking,100.0,250.0,60.0,1.75
28,female,173,82,sedentary,bulking,164.0,410.0,98.4,2.87
53,female,155,82,moderate,cutting,180.4,225.5,72.2,3.17
22,male,189,56,active,bulking,112.0,350.0,84.0,2.56
46,female,181,91,sedentary,maintenance,182.0,318.5,91.0,3.19
55,male,179,63,sedentary,bulking,126.0,315.0,75.6,2.21
47,male,190,90,sedentary,cutting,198.0,225.0,72.0,3.15
33,female,188,63,moderate,maintenance,126.0,242.6,69.3,2.5
28,female,156,88,sedentary,cutting,193.6,220.0,70.4,3.08
54,female,168,57,active,maintenance,114.0,249.4,71.2,2.6
41,female,192,74,active,cutting,162.8,231.2,74.0,3.19
21,female,188,86,moderate,maintenance,172.0,331.1,94.6,3.31
30,male,193,98,sedentary,maintenance,196.0,343.0,98.0,3.43
37,female,167,77,active,bulking,154.0,481.2,115.5,3.3
54,male,189,77,active,maintenance,154.0,336.9,96.2,3.3
53,male,185,74,moderate,bulking,148.0,407.0,97.7,2.89
45,male,178,79,sedentary,bulking,158.0,395.0,94.8,2.77
38,female,169,75,moderate,cutting,165.0,206.3,66.0,2.93
45,male,167,81,active,cutting,178.2,253.1,81.0,3.44
31,male,170,94,active,bulking,188.0,587.5,141.0,3.89
50,male,192,98,moderate,cutting,215.6,269.5,86.2,3.73
32,female,152,55,active,maintenance,110.0,240.6,68.8,2.53
47,female,196,84,active,bulking,168.0,525.0,126.0,3.54
52,female,159,91,moderate,cutting,200.2,250.3,80.1,3.49
35,female,155,51,active,bulking,102.0,318.8,76.5,2.39
21,male,183,75,moderate,maintenance,150.0,288.8,82.5,2.93
54,male,170,79,sedentary,bulking,158.0,395.0,94.8,2.77
45,female,187,56,moderate,bulking,112.0,308.0,73.9,2.26
28,female,155,45,moderate,cutting,99.0,123.8,39.6,1.88
40,female,157,60,active,maintenance,120.0,262.5,75.0,2.7
54,female,180,45,moderate,maintenance,90.0,173.2,49.5,1.88
29,male,181,65,active,maintenance,130.0,284.4,81.2,2.88
23,female,190,93,sedentary,bulking,186.0,465.0,111.6,3.26
51,male,194,66,moderate,cutting,145.2,181.5,58.1,2.61
52,female,164,65,moderate,cutting,143.0,178.8,57.2,2.58
23,female,184,78,active,cutting,171.6,243.8,78.0,3.33
19,male,153,69,active,bulking,138.0,431.2,103.5,3.02
58,male,155,53,active,cutting,116.6,165.6,53.0,2.46
52,male,150,92,active,maintenance,184.0,402.5,115.0,3.82
36,female,156,45,moderate,bulking,90.0,247.5,59.4,1.88
39,female,170,49,moderate,maintenance,98.0,188.7,53.9,2.02
21,female,196,88,sedentary,bulking,176.0,440.0,105.6,3.08
18,male,178,65,active,cutting,143.0,203.1,65.0,2.88
58,male,193,93,sedentary,cutting,204.6,232.5,74.4,3.26
34,male,178,67,active,cutting,147.4,209.4,67.0,2.95
42,male,179,73,moderate,maintenance,146.0,281.1,80.3,2.85
45,female,151,57,active,bulking,114.0,356.2,85.5,2.6
21,male,168,51,active,maintenance,102.0,223.1,63.8,2.39
19,male,170,70,moderate,bulking,140.0,385.0,92.4,2.75
29,female,169,45,sedentary,bulking,90.0,225.0,54.0,1.58
38,male,159,54,moderate,maintenance,108.0,207.9,59.4,2.19
45,female,184,96,moderate,cutting,211.2,264.0,84.5,3.66
25,female,190,87,moderate,cutting,191.4,239.3,76.6,3.35
46,female,160,61,sedentary,cutting,134.2,152.5,48.8,2.14
55,female,188,63,moderate,cutting,138.6,173.2,55.4,2.5
42,female,169,71,sedentary,cutting,156.2,177.5,56.8,2.49
55,female,161,71,sedentary,cutting,156.2,177.5,56.8,2.49
30,male,154,47,active,maintenance,94.0,205.6,58.8,2.25
58,female,172,60,active,cutting,132.0,187.5,60.0,2.7
43,female,166,99,active,maintenance,198.0,433.1,123.8,4.07
37,male,186,70,sedentary,cutting,154.0,175.0,56.0,2.45
20,male,193,75,active,cutting,165.0,234.4,75.0,3.23
18,female,197,51,active,cutting,112.2,159.4,51.0,2.39
28,female,192,96,moderate,cutting,211.2,264.0,84.5,3.66
18,female,162,50,moderate,maintenance,100.0,192.5,55.0,2.05
56,male,177,95,sedentary,bulking,190.0,475.0,114.0,3.33
59,female,184,51,sedentary,cutting,112.2,127.5,40.8,1.79
18,male,193,69,sedentary,maintenance,138.0,241.5,69.0,2.42
25,male,174,49,active,bulking,98.0,306.2,73.5,2.31
56,male,186,86,moderate,cutting,189.2,236.5,75.7,3.31
29,female,159,54,sedentary,maintenance,108.0,189.0,54.0,1.89
25,female,187,62,sedentary,maintenance,124.0,217.0,62.0,2.17
45,female,153,52,moderate,bulking,104.0,286.0,68.6,2.12
23,female,161,99,sedentary,maintenance,198.0,346.5,99.0,3.47
26,female,176,85,moderate,maintenance,170.0,327.2,93.5,3.27
26,female,168,66,moderate,maintenance,132.0,254.1,72.6,2.61
43,male,163,98,sedentary,cutting,215.6,245.0,78.4,3.43
53,male,176,63,sedentary,bulking,126.0,315.0,75.6,2.21
42,female,163,80,sedentary,cutting,176.0,200.0,64.0,2.8
48,male,170,98,moderate,bulking,196.0,539.0,129.4,3.73
58,female,179,86,moderate,cutting,189.2,236.5,75.7,3.31
25,female,158,74,sedentary,bulking,148.0,370.0,88.8,2.59
49,male,175,46,moderate,cutting,101.2,126.5,40.5,1.91
58,female,160,67,moderate,bulking,134.0,368.5,88.4,2.65
40,female,185,54,active,cutting,118.8,168.8,54.0,2.49
44,male,173,62,active,cutting,136.4,193.8,62.0,2.77
19,male,156,88,moderate,maintenance,176.0,338.8,96.8,3.38
55,female,152,46,active,cutting,101.2,143.8,46.0,2.21
56,female,153,62,moderate,bulking,124.0,341.0,81.8,2.47
30,male,159,95,sedentary,bulking,190.0,475.0,114.0,3.33
47,male,195,75,sedentary,maintenance,150.0,262.5,75.0,2.63
19,female,156,50,moderate,maintenance,100.0,192.5,55.0,2.05
29,female,197,64,moderate,maintenance,128.0,246.4,70.4,2.54
52,female,198,96,sedentary,bulking,192.0,480.0,115.2,3.36
30,female,155,62,sedentary,maintenance,124.0,217.0,62.0,2.17
53,male,180,99,moderate,maintenance,198.0,381.2,108.9,3.77
49,female,170,72,moderate,cutting,158.4,198.0,63.4,2.82
55,male,185,69,active,bulking,138.0,431.2,103.5,3.02
18,male,180,79,sedentary,cutting,173.8,197.5,63.2,2.77
39,male,199,91,moderate,bulking,182.0,500.5,120.1,3.49
51,male,184,64,sedentary,bulking,128.0,320.0,76.8,2.24
25,female,186,69,moderate,cutting,151.8,189.8,60.7,2.71
42,female,161,69,moderate,bulking,138.0,379.5,91.1,2.71
18,female,167,96,active,cutting,211.2,300.0,96.0,3.96
45,female,155,54,active,cutting,118.8,168.8,54.0,2.49
22,female,199,65,active,maintenance,130.0,284.4,81.2,2.88
